I;0;U;0;B;0
I;49661;A;0.00496608;0.099999589;0
I;85711;B;0.769433272;;
I;179801;A;0.017979131;0.099992713;-5.28364E-11
I;207683;U;0.055927117;;
I;234407;A;0.023438553;0.099978431;-2.61552E-10
I;260658;B;-0.485108273;;
I;278089;A;0.027805316;0.099967091;-2.59597E-10
I;340708;U;0.022636299;;
I;344234;A;0.034416602;0.099951411;-2.37053E-10
I;429914;B;0.89821161;;
I;472650;A;0.047247404;0.099915913;-2.76432E-10
I;491779;U;0.05682336;;
I;548234;A;0.054795941;0.099869515;-6.13855E-10
I;627874;B;-0.504700072;;
I;680135;A;0.067961076;0.099810724;-4.45718E-10
I;745312;U;0.029252786;;
I;801680;A;0.080082156;0.09972504;-7.04963E-10
I;879277;B;0.143709134;;
I;974145;A;0.097260503;0.09960483;-6.97008E-10
I;1060972;U;0.117679957;;
I;1085827;A;0.108369457;0.099469516;-1.2116E-09
I;1174231;B;0.492830777;;
I;1238740;A;0.12355744;0.099324341;-9.49398E-10
I;1332529;U;0.140187425;;
I;1411235;A;0.140655534;0.099122259;-1.17153E-09
I;1508900;B;-0.105283782;;
I;1567414;A;0.156100388;0.098892;-1.47433E-09
I;1666508;U;0.12563531;;
I;1692475;A;0.168440649;0.098673936;-1.74366E-09
I;1780009;B;-0.617946149;;
I;1837863;A;0.182753409;0.098445263;-1.57284E-09
I;1912285;U;0.17024125;;
I;1917171;A;0.190544815;0.098242379;-2.55818E-09
I;1953049;B;0.004833973;;
I;2021837;A;0.200809027;0.098066341;-1.68191E-09
I;2026316;U;0.183927559;;
I;2070508;A;0.205574589;0.097913786;-3.1344E-09
I;2104594;B;1.159362732;;
I;2124535;A;0.210858869;0.097808136;-1.9555E-09
I;2139935;U;0.252100092;;
I;2171428;A;0.215440402;0.097701854;-2.26648E-09
I;2215887;B;-0.360384355;;
I;2236569;A;0.221796915;0.097580839;-1.85775E-09
I;2284697;U;0.260326034;;
I;2353520;A;0.233185296;0.09737737;-1.73978E-09
I;2393447;B;0.314013915;;
I;2433391;A;0.24094469;0.097149075;-2.8583E-09
I;2511166;U;0.278961745;;
I;2543609;A;0.251626924;0.096919139;-2.08619E-09
